"DTAG",1353053,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SU",1403810,"KVARZ CH1-75A ACTIVE H-MASER"
"USNO",1400726,"MICROSEMI ACTIVE H-MASER MHM 2010"
"CH",1240105,"OSCILLOQUARTZ 3230"
"USNO",1350260,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1352784,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SP",1407212,"KVARZ CH1-75A ACTIVE H-MASER"
"USNO",1351463,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"IFAG",1361167,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"SASO",1351628,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"IT",1401101,"UNSPECIFIED HYDROGEN MASER"
"UA",1407882,"UNSPECIFIED HYDROGEN MASER"
"TL",1351498,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"PL",1404602,"UNSPECIFIED HYDROGEN MASER"
"NIST",1400207,"MICROSEMI ACTIVE H-MASER MHM 2010"
"OP",1352804,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"ONRJ",1401950,"UNSPECIFIED HYDROGEN MASER"
"BEV",1403452,"UNSPECIFIED HYDROGEN MASER"
"SASO",1350221,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1350907,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"OP",1400890,"KVARZ CH1-75A ACTIVE H-MASER"
"NIM",1352483,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"MIKE",1404113,"KVARZ CH1-76 PASSIVE H-MASER"
"PL",1350761,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"UME",1352710,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1400713,"MICROSEMI ACTIVE H-MASER MHM 2010"
"NICT",1351887,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SP",1362218,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"ORB",1352722,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"USNO",1350120,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"SP",1351642,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"CNM",1352708,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"PL",1404004,"UNSPECIFIED HYDROGEN MASER"
"USNO",1350226,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
"NICT",1361217,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"SP",1362295,"MICROCHIP 5071A LOW/STANDARD PERFORMANCE TUBE"
"NTSC",1352980,"MICROCHIP 5071A HIGH PERFORMANCE TUBE."
